日期,标题,链接,浏览次数
2019-09-25,李晓兵赴珠海校区调研学生工作并作新生入学教育专题讲座,http://news.bnu.edu.cn/zx/ttgz/111696.htm,871
2019-09-25,北师大历史学院瞿林东、晁福林、郑师渠、杨共乐四位教授进入中国历史研究院学术委员会、学术咨询委员会,http://news.bnu.edu.cn/zx/ttgz/111680.htm,2507
2019-09-25,【教育部网站】北京师范大学精心组织开展庆祝新中国成立70周年系列活动,http://news.bnu.edu.cn/zx/ttgz/111675.htm,829
2019-09-25,孙红培一行看望北师大“庆祝中华人民共和国成立70周年纪念章”获得者,http://news.bnu.edu.cn/zx/ttgz/111682.htm,545
2019-09-25,董奇一行出访俄罗斯并出席中俄综合性大学校长圆桌论坛,http://news.bnu.edu.cn/zx/ttgz/111666.htm,570
2019-09-24,“同心同行七十年，不忘初心共奋进” 北京师范大学统一战线庆祝新中国成立七十周年座谈会举办,http://news.bnu.edu.cn/zx/ttgz/111658.htm,1182
2019-09-24,《青藏高原历史文化丛书》出版,http://news.bnu.edu.cn/zx/ttgz/111633.htm,461
2019-09-23,北师大召开2019-2020学年秋季学期教学工作会,http://news.bnu.edu.cn/zx/ttgz/111638.htm,589
2019-09-23,【光明日报】萧放：根植传统 肩负当代——写在中国农民丰收节周岁之际,http://news.bnu.edu.cn/zx/ttgz/111600.htm,490
2019-09-21,爱国崇教 | 沉痛悼念北京师范大学名誉教授曾宪梓博士！,https://mp.weixin.qq.com/s/UM_jEn1NdCKBTi201BpDWA,1
2019-09-20,北京师范大学举行“不忘初心、牢记使命” ——“红色特工”刘光典烈士英雄事迹专题报告会,http://news.bnu.edu.cn/zx/ttgz/111576.htm,1251
2019-09-19,【中国青年报】北师大“发展中国家硕士项目”留学生：我们要把中国经验带回自己的国家,http://news.bnu.edu.cn/zx/ttgz/111564.htm,189
2019-09-19,程建平赴西城校园（原辅仁大学校园）调研,http://news.bnu.edu.cn/zx/ttgz/111558.htm,1650
2019-09-19,【光明日报】热血诠释爱国 奋斗书写青春——北师大2019暑期学生社会实践纪实,http://news.bnu.edu.cn/zx/ttgz/111549.htm,1167
2019-09-19,【光明日报】《说文解字》数字化：推动经典现代化转型,http://news.bnu.edu.cn/zx/ttgz/111548.htm,288
2019-09-18,教育部举行首批国家教材建设重点研究基地工作启动会暨授牌仪式 北师大两个基地接受国家教材建设重点基地授牌,http://news.bnu.edu.cn/zx/ttgz/111551.htm,345
2019-09-18,北师大师生共学“时代楷模”黄文秀同志先进事迹,http://news.bnu.edu.cn/zx/ttgz/111521.htm,2248
2019-09-18,【光明日报】张琦：从温饱迈向全面小康的跨越 ,http://news.bnu.edu.cn/zx/ttgz/111514.htm,214
2019-09-18,高铭暄教授被授予“人民教育家”国家荣誉称号,http://news.bnu.edu.cn/zx/ttgz/111504.htm,2509
2019-09-18,冯刚、陈步云：深刻把握新时代思政课“八个统一”的建设规律,http://news.bnu.edu.cn/zx/ttgz/111502.htm,252
2019-09-17,庆祝中华人民共和国成立70周年 北京师范大学书法绘画摄影展开展,http://news.bnu.edu.cn/zx/ttgz/111439.htm,666
2019-09-17,《历史视野下的中华民族精神》入选中华人民共和国建国70周年外译百部图书工程,http://news.bnu.edu.cn/zx/ttgz/111552.htm,421
2019-09-16,北师大学科教育团队喜获多项国家级教学成果,http://news.bnu.edu.cn/zx/ttgz/111422.htm,2209
2019-09-12,北京师范大学召开“不忘初心、牢记使命”主题教育动员部署会,http://news.bnu.edu.cn/zx/ttgz/111389.htm,2817
